map,field,row,values
Fan,polyeff_Map,12,0.8315306628172004 0.8585412933544389 0.8798860364109291 0.8949649761657311 0.9028684815039237 0.9027372185524491 0.8941287135749817 0.876556201901008 0.8485442755587468 0.808351508775635 0.7534741011515571
Fan,polyeff_Map,13,0.8449335496727426 0.8642595383739374 0.8791720506390399 0.889322411520438 0.8940645169469699 0.8929103646280965 0.8855328470765783 0.8716686744184643 0.8504674043025995 0.8207565285673741 0.7812129686388136
Fan,polyeff_Map,14,0.8544172268260366 0.8675412352766461 0.8773807113522288 0.8836631130036653 0.8861042675370967 0.8842245440860846 0.8779872111812262 0.8672527505486065 0.8514934278485203 0.8300698911519677 0.8022189996379758
LPC,defaults,Nc,1.0
LPC,defaults,Rline,2.15
LPC,defaults,Wc,87.66624999999999
LPC,defaults,PR,1.935
LPC,defaults,polyeff,0.940730122317797
LPC,NcMap,-,0.3 0.4 0.5 0.6 0.7 0.75 0.8 0.85 0.9 0.95 1.0 1.05 1.1 1.15
LPC,RlineMap,-,1.0 1.2 1.4 1.6 1.8 2.0 2.2 2.4 2.6 2.8 3.0
LPC,WcMap,1,17.907 19.339 20.749 22.136 23.498 24.833 26.141 27.42 28.669 29.887 31.011
LPC,WcMap,2,24.951 26.742 28.485 30.177 31.815 33.397 34.921 36.385 37.788 39.128 40.405
LPC,WcMap,3,32.682 34.715 36.662 38.52 40.286 41.958 43.533 45.011 46.39 47.669 48.848
LPC,WcMap,4,40.927 43.115 45.168 47.083 48.858 50.492 51.983 53.331 54.539 55.607 56.537
LPC,WcMap,5,49.85 52.122 54.195 56.068 57.741 59.215 60.494 61.58 62.479 63.197 63.739
LPC,WcMap,6,54.798 57.066 59.099 60.897 62.463 63.8 64.913 65.81 66.497 66.983 67.278
LPC,WcMap,7,60.051 62.252 64.185 65.851 67.255 68.405 69.307 69.973 70.413 70.638 70.675
LPC,WcMap,8,65.313 67.427 69.262 70.824 72.118 73.153 73.938 74.484 74.803 74.907 74.907
LPC,WcMap,9,70.995 72.902 74.542 75.92 77.043 77.92 78.56 78.974 79.174 79.198 79.198
LPC,WcMap,10,77.441 78.904 80.155 81.199 82.042 82.69 83.151 83.434 83.545 83.548 83.548
LPC,WcMap,11,84.344 85.211 85.952 86.572 87.074 87.46 87.735 87.903 87.967 87.968 87.968
LPC,WcMap,12,89.305 89.687 90.025 90.32 90.572 90.783 90.953 91.083 91.174 91.227 91.243
LPC,WcMap,13,93.626 93.712 93.793 93.868 93.939 94.004 94.064 94.12 94.17 94.216 94.257
LPC,WcMap,14,96.084 96.074 96.064 96.054 96.044 96.033 96.022 96.012 96.0 95.989 95.978
LPC,PRMap,1,1.0678 1.0649 1.0613 1.0571 1.0522 1.0468 1.0402 1.0322 1.0227 1.0117 1.0
LPC,PRMap,2,1.1239 1.1186 1.1122 1.1047 1.0962 1.0865 1.0751 1.0611 1.0445 1.0257 1.0045
LPC,PRMap,3,1.1994 1.191 1.1809 1.1691 1.1558 1.1409 1.1233 1.102 1.0771 1.0488 1.0173
LPC,PRMap,4,1.2981 1.2855 1.2706 1.2533 1.2339 1.2122 1.1869 1.1563 1.121 1.0811 1.037
LPC,PRMap,5,1.4289 1.4111 1.3899 1.3655 1.338 1.3076 1.272 1.2295 1.1804 1.1254 1.0654
LPC,PRMap,6,1.5118 1.4909 1.4661 1.4375 1.4052 1.3695 1.3278 1.2779 1.2205 1.1565 1.0868
LPC,PRMap,7,1.607 1.5827 1.5538 1.5205 1.4831 1.4417 1.3934 1.3358 1.2697 1.1962 1.1165
LPC,PRMap,8,1.716 1.6881 1.6555 1.6183 1.5767 1.5312 1.4785 1.416 1.3448 1.266 1.1808
LPC,PRMap,9,1.8402 1.8086 1.7724 1.7318 1.6869 1.6381 1.5824 1.517 1.443 1.3615 1.2736
LPC,PRMap,10,1.993 1.9587 1.9206 1.8788 1.8336 1.7852 1.7309 1.6685 1.5988 1.5225 1.4405
LPC,PRMap,11,2.1593 2.1257 2.0899 2.0518 2.0117 1.9695 1.9235 1.8724 1.8163 1.7557 1.6909
LPC,PRMap,12,2.2764 2.251 2.2248 2.1978 2.1701 2.1416 2.1118 2.0801 2.0464 2.0108 1.9735
LPC,PRMap,13,2.3771 2.3664 2.3557 2.3448 2.3339 2.3229 2.3118 2.3004 2.2887 2.2768 2.2646
LPC,PRMap,14,2.4343 2.4365 2.4387 2.4409 2.443 2.4452 2.4473 2.4495 2.4516 2.4538 2.4559
LPC,polyeff_Map,1,0.8087961276703625 0.8306251106316775 0.847399988858857 0.8577310703950848 0.8596224742080986 0.8506774209707051 0.8180260839721167 0.7421684771578837 0.603471969340557 0.3684490480835339 0.0
LPC,polyeff_Map,2,0.8259175037989567 0.8478467757273769 0.8648616910862496 0.8758728560924457 0.8790924457675774 0.8723183305688447 0.8435232579747464 0.775109149336703 0.6498797304873956 0.4392321170824788 0.0921811862901929
