map,pratio,mb,piD,mbD,NbD,epol0,Nb,epol,dNb_dpi,dNb_dmb,depol_dpi,depol_dmb,N,R
Fan,1.008,0.55,1.68,1.0,1.0,0.9,0.3855757854181344,0.1981018175832711,0.575777720338412,0.8664527373518203,24.762727193472774,-9.060660728643644e-15,0.38172002756395307,3.0331012286393766
Fan,1.008,0.8,1.68,1.0,1.0,0.9,0.6899829859832451,0.061549998613691564,0.6072606601790432,1.685381208116259,7.53832629393317,-0.43135990624920484,0.6830831561234126,3.637392838371372
Fan,1.008,1.0,1.68,1.0,1.0,0.9,0.975829717138245,0.015361583553889642,0.0734608138166635,2.4473464946149246,1.9156047247265193,-0.15302307552468564,0.9660714199668624,3.9757524781419407
Fan,1.008,1.15,1.68,1.0,1.0,0.9,1.3141381143800908,0.006625276682332492,0.015376156613613039,1.6708813725678304,0.678378565892918,-0.022880573384033702,1.3009967332362897,3.989578463223716
Fan,1.428,0.55,1.68,1.0,1.0,0.9,0.8343230862402354,0.6002783788328246,0.696119706963341,0.01756692111279307,-0.4752524031198373,1.0794220075151786,0.825979855377833,0.9772310556949309
Fan,1.428,0.8,1.68,1.0,1.0,0.9,0.804144840634929,0.8905556948786145,0.4170207245963761,0.44396433154295545,-0.13640408400090287,0.16941666788562645,0.7961033922285796,1.828857858436238
Fan,1.428,1.0,1.68,1.0,1.0,0.9,0.9998024131528627,0.7146799230954088,0.0,2.4808146258723904,0.9355424146967352,-1.8762463010688175,0.9898043890213339,2.8919265350904384
Fan,1.428,1.15,1.68,1.0,1.0,0.9,1.3204648076998273,0.2857518001725437,0.014760752468363468,1.6372970707221497,0.6512276339669675,-1.5045818265058233,1.307260159622829,3.5464493842924485
Fan,1.68,0.55,1.68,1.0,1.0,0.9,0.9438316114486648,0.5600854174923582,0.351826427512634,0.008241472938071197,-0.1033489883037427,1.0159161906182426,0.934393295334178,0.7720267428317087
Fan,1.68,0.8,1.68,1.0,1.0,0.9,0.9318885738865292,0.7943942037414674,0.46996652808169104,-0.09551743624569638,-0.20055436613533234,0.8262154420091914,0.9225696881476639,1.2816643260733835
