map,N,R,Wc,PR,polyeff,dWc_dN,dWc_dR,dPR_dN,dPR_dR,dpe_dN,dpe_dR
Fan,0.15,0.5,30.44925,1.0249365,0.17385410837215998,202.995,60.8985,0.23290999999999995,-0.005272999999999972,1.1590273891477332,0.34770821674431995
Fan,0.15,1.1,68.173,1.0226000000000002,0.36610289034728266,454.4866666666667,72.745,0.21733333333333382,0.0030000000000005578,2.4406859356485513,0.18394673602962697
Fan,0.15,1.75,113.79400000000001,1.020175,0.45206358616109765,758.6266666666668,67.71000000000004,0.20116666666666605,-0.00949999999999962,3.0137572410739843,0.0768158042648448
Fan,0.15,2.2,142.9305,1.0135999999999998,0.4446393019615278,952.87,63.19749999999999,0.15733333333333288,-0.017000000000000348,2.964262013076852,-0.06982903714575794
Fan,0.15,2.63,168.29729999999998,1.0039974999999999,0.31083211715728415,1121.982,55.06000000000006,0.09331666666666694,-0.026750000000000718,2.0722141143818944,-0.7111161765205356
Fan,0.15,3.0,184.776,0.995,0.0,1231.8400000000001,35.59249999999997,0.033333333333333215,-0.02224999999999966,0.0,-0.9497118357439651
Fan,0.15,3.5,185.69988,0.995,0.0,1237.9992000000002,1.8477599999999939,0.033333333333333215,0.0,0.0,0.0
Fan,0.35,0.5,79.16599999999998,1.082787,0.36017537685478984,365.3499999999998,158.33199999999997,0.45828000000000024,-0.01077399999999995,0.2493432022093991,0.7203507537095797
Fan,0.35,1.1,173.74399999999997,1.0779,0.7539182091608599,747.9599999999996,154.12000000000006,0.45399999999999885,0.0050000000000003375,0.4342485693258933,0.33567455451280126
Fan,0.35,1.75,269.17449999999997,1.0705624999999999,0.9094711139095217,831.7299999999996,139.90999999999997,0.4042500000000011,-0.025249999999999766,0.10687883174653123,0.13735996960234864
Fan,0.35,2.2,328.57249999999993,1.0536999999999999,0.8966061921320937,854.23,127.88999999999986,0.33000000000000185,-0.043250000000000004,0.14655176418076366,-0.12233225620143218
Fan,0.35,2.63,378.9075999999999,1.0296124999999998,0.6712460694020427,846.2599999999989,107.12000000000023,0.23235000000000028,-0.06625000000000102,0.9916367017494894,-1.157994464930674
Fan,0.35,3.0,413.7625,1.0050999999999999,0.13008580851825882,884.2099999999996,83.22249999999984,0.10200000000000031,-0.06624999999999968,2.601716170365177,-1.721506009227846
Fan,0.35,3.5,415.83131249999997,1.0025499999999998,0.06504290425912941,888.63105,4.137624999999986,0.051000000000000156,-0.005099999999999991,1.3008580851825886,-0.13008580851825882
Fan,0.62,0.5,170.2973,1.2521094000000002,0.3636365359242971,248.615,340.5946,0.7326449999999998,-0.012458800000000015,-0.31761955481473203,0.7272730718485942
Fan,0.62,1.1,363.01800000000003,1.2497800000000001,0.7615772109403959,552.0500000000006,224.23400000000004,0.7989999999999977,0.03899999999999937,-0.5323372526479009,0.34304139091801733
Fan,0.62,1.75,488.53350000000006,1.237705,0.918782629133029,773.5749999999998,165.19399999999996,0.9539999999999988,-0.06769999999999979,-0.04197245804782668,0.13861392715272294
Fan,0.62,2.2,550.1410000000001,1.1874,0.9118391343732357,768.5,122.72099999999946,0.7200000000000006,-0.13270000000000037,-0.023669510853370213,-0.09989524187111964
Fan,0.62,2.63,588.52029,1.112999,0.7334855745137743,654.0494999999992,61.26300000000019,0.2956999999999983,-0.20470000000000027,-0.5665887635605662,-0.8484910825865453
Fan,0.62,3.0,607.4552,1.03314,0.30930739953264863,496.46000000000095,42.60099999999974,-0.17299999999999827,-0.2252999999999997,-2.11088770964159,-1.399673454707064
Fan,0.62,3.5,610.492476,1.0165700000000002,0.15465369976632432,498.9423000000015,6.07455200000004,-0.08649999999999736,-0.03313999999999999,-1.055443854820795,-0.30930739953264863
Fan,0.805,0.5,218.1484,1.40769345,0.31515460948662255,380.27999999999975,436.2968,1.4451900000000002,-0.014006900000000023,0.1698419857148208,0.6303092189732451
Fan,0.805,1.1,469.76390000000004,1.422,0.6805638833859047,791.5800000000017,334.67099999999994,1.4900000000000055,0.21309999999999968,0.2903550033188562,0.5025466441265959
Fan,0.805,1.75,636.6345249999999,1.4544850000000002,0.9120042499161345,831.9050000000007,188.21750000000048,1.5870000000000033,-0.09190000000000023,0.019206418353217458,0.20873268609985757
Fan,0.805,2.2,692.3398,1.3557,0.9085068279488606,700.3600000000024,92.33549999999987,1.3800000000000026,-0.27894999999999903,0.02800667421809422,-0.1268386730482173
Fan,0.805,2.63,704.3665,1.1896125,0.660027961541008,566.0999999999985,0.0,1.0335000000000036,-0.46325000000000094,0.6203852312957903,-1.2099786828437404
Fan,0.805,3.0,704.3665,1.0101799999999999,0.048783088626134744,566.1000000000022,0.0,0.6760000000000019,-0.5033999999999998,2.631460210075738,-2.0277424841571854
Fan,0.805,3.5,707.8883325,1.00509,0.024391544313067372,568.9305000000004,7.043664999999987,0.3379999999999974,-0.01017999999999993,1.315730105037869,-0.048783088626134744
Fan,1.0,0.5,321.9045,1.8472905000000002,0.40572568691751665,507.83999999999924,643.809,2.257230000000007,-0.01838099999999998,0.37793137046491676,0.8114513738350333
